Plant Species,Antidiabetic,Hypoglycemic,Antihyperglycemic,α-amylase inhibitor,α-glucosidase inhibitor,outcome
Leucas cephalotes,5,0,0,0,0,1
Liriope platyphylla,5,0,0,0,0,1
Liriope spicata,5,0,0,0,0,1
Lonicera caerulea,5,0,0,0,0,1
Lonicera japonica,5,0,0,0,0,1
Luffa acutangula,5,0,0,0,0,1
Luffa cylindrica,5,0,0,0,0,1
Luffa echinata,5,0,0,0,0,1
Lycium barbarum,5,0,0,0,0,1
Lycium chinense,5,0,0,0,0,1
Lycium ruthenicum,5,0,0,0,0,1
Mangifera indica,0,0,3,2,0,1
Mangifera mekongensis,0,0,0,0,1,0
Marrubium alysson,0,0,0,0,1,0
Marrubium deserti,5,0,0,0,0,1
Marrubium radiatum,0,0,0,2,0,0
Marrubium vulgare,5,0,0,0,0,1
Melia azadirachta,5,0,0,0,0,1
Melia dubia,5,0,0,0,0,1
Melia orientalis,5,0,0,0,0,1
Mentha arvensis,5,0,0,0,0,1
Mentha longifolia,5,0,0,0,0,1
Mentha piperita,5,0,0,0,0,1
Mimosa invisa,0,4,0,0,0,0
Mimosa pigra,0,0,3,0,0,0
Mimosa pudica,0,4,0,0,0,0
Mimusops elengi,5,0,0,0,0,1
Mimusops zeyheri,5,0,0,0,0,1
Momordica balsamina,5,0,0,0,0,1
Momordica charantia,0,4,3,2,0,0
Momordica cymbalaria,5,0,0,0,0,1
Momordica foetida,5,0,0,0,0,1
Momordica grosvenori,5,0,0,0,0,1
Moringa oleifera,0,4,0,0,0,0
Moringa peregrina,5,0,0,0,0,1
Moringa stenopetala,0,0,0,0,1,0
Morus alba,5,0,0,0,0,1
Morus nigra,5,0,0,0,0,1
Mucuna gigantea,5,0,0,0,0,1
Mucuna pruriens,5,0,0,0,0,1
Murraya koenigii,0,4,3,2,0,1
Murraya panicutata,0,0,0,0,1,0
Musa acuminata,5,0,0,0,0,1
Musa paradisiaca,5,0,0,0,0,1
Musa Sapientum,0,0,3,0,0,0
Nymphaea nouchali,5,0,0,0,0,1
Nymphaea stellata,0,4,3,0,1,1
Ocimum campechianum,5,0,0,0,0,1
Ocimum gratissimum,0,4,0,0,0,0
Ocimum sanctum,0,4,0,0,0,0
Ocimum tenuiflorum,0,4,0,0,0,0
Oplopanax elatus,5,0,0,0,0,1
Oplopanax horridus,5,0,0,0,0,1
Origanum onites,5,0,0,0,0,1
Origanum vulgare,5,0,0,0,0,1
Orthosiphon aristatus,5,0,0,0,0,1
Orthosiphon stamineus,5,0,0,0,0,1
Otostegia persica,5,0,0,0,0,1
Otostegia integrifolia,5,0,0,0,0,1
Oxalis corniculata,5,0,0,0,0,1
Oxalis griffithii,5,0,0,0,0,1
Paederia foetida,5,0,0,0,0,1
Paederia scandens,5,0,0,0,0,1
Paeonia lactiflora,0,4,0,0,0,0
Paeonia suffruticosa,5,0,0,0,0,1
Pandanus amaryllifolius,0,0,3,0,0,0
Pandanus fascicularis,0,0,3,0,0,0
Pandanus tectorius,5,0,0,0,0,1
Panax ginseng,5,0,0,0,0,1
Panax notoginseng,0,0,3,0,0,0
Panax quinquefolius,5,0,0,0,0,1
Phaleria cumingii,5,0,0,0,0,1
Phaleria macrocarpa,0,0,0,0,1,0
Phaleria nishidae,5,0,0,0,0,1
Phyllanthus amarus,0,4,0,2,1,1
Phyllanthus emblica,5,0,0,0,0,1
Phyllanthus engleri,5,0,0,0,0,1
Phyllanthus fraternus,5,0,0,0,0,1
Phyllanthus gardnerianus,5,0,0,0,0,1
Phyllanthus niruri,0,4,0,0,0,0
Phyllanthus urinaria,0,0,0,0,1,0
phyllanthus virgatus,0,0,0,2,0,0
Phyllanthus watsonii,5,0,0,0,0,1
Physalis angulata,5,0,0,0,0,1
Physalis minima,5,0,0,0,0,1
Physalis peruviana,5,0,0,0,0,1
Piper angustifolium,5,0,0,0,0,1
Piper betle,0,4,0,0,0,0
Piper crocatum,0,0,3,0,0,0
Piper cubeba,0,0,0,2,1,0
Piper guineense,0,0,0,2,0,0
Piper longum,0,0,3,0,0,0
Piper nigrum,0,4,0,2,0,1
Piper sarmentosum,5,0,0,0,0,1
Pistacia atlantica,0,4,0,0,0,0
Pistacia integerrima,5,0,0,0,0,1
Plantago asiatica,5,0,0,0,0,1
Plantago lanceolata,0,0,0,2,0,0
Plantago ovata,5,0,0,0,0,1
Plumeria alba,5,0,0,0,0,1
Plumeria obtusa,5,0,0,0,0,1
Plumeria rubra,0,0,0,2,0,0
Polygonum cuspidatum,0,0,0,0,1,0
Polygonum hydropiper,5,0,0,0,0,1
Polygonum multiflorum,0,4,0,0,0,0
Polygonum senegalensis,5,0,0,0,0,1
Psidium cattleianum,5,0,0,0,0,1
Psidium guajava,5,0,0,0,0,1
Pterocarpus santalinus,5,0,0,0,0,1
Pterocarpus marsupium,5,0,0,0,0,1
Pterocarpus soyauxii,5,0,0,0,0,1
Prunus persica,5,0,0,0,0,1
Prunus capuli,5,0,0,0,0,1
Prunus emarginata,5,0,0,0,0,1
Prunus mume,5,0,0,0,0,1
Pueraria lobata,5,0,0,0,0,1
Pueraria thomsontii,5,0,0,0,0,1
Pueraria thunbergiana,5,0,0,0,0,1
Rheum emodi,5,0,0,0,0,1
Rheum officinale,5,0,0,0,0,1
Rheum palmatum,5,0,0,0,0,1
Rheum ribes,0,4,0,0,0,0
Rheum tanguticum,5,0,0,0,0,1
Rheum turkestanicum,5,0,0,0,0,1
Rheum undulatum,5,0,0,0,0,1
Rhododendron  brachycarpum,5,0,0,0,0,1
Rhododendron groenlandicum,5,0,0,0,0,1
Rhododendron tomentosum,5,0,0,0,0,1
Rhus coriaria,5,0,0,0,0,1
Rhus chinensis,5,0,0,0,0,1
Rhus hirta,5,0,0,0,0,1
Rhus mysorensis,5,0,0,0,0,1
Rhus verniciflua,5,0,0,0,0,1
Rhus virens,5,0,0,0,0,1
Rosa canina,5,0,0,0,0,1
Rosa rugosa,0,4,0,0,0,0
Salacia chinensis,0,4,0,0,0,0
Salacia oblonga,0,4,0,0,0,0
Salacia prinoides,5,0,0,0,0,1
Salacia reticulata,0,4,0,0,0,0
Salvia Salvia acetabulosa,0,0,0,2,0,0
Salvia hispanica,5,0,0,0,0,1
Salvia hypoleuca,5,0,0,0,0,1
Salvia officinalis,0,4,0,0,0,0
Salvia libanotica,5,0,0,0,0,1
Salvia limbata,0,0,0,2,1,0
Salvia miltiorrhiza,5,0,0,0,0,1
Sida acuta,5,0,0,0,0,1
Sida cordifolia,5,0,0,0,0,1
Sida rhombifolia,5,0,0,0,0,1
Smilax Smilax china,5,0,0,0,0,1
Smilax glabra,5,0,0,0,0,1
Smilax officinalis,5,0,0,0,0,1
Smilax perfoliata,5,0,0,0,0,1
Solanum americanum,5,0,0,0,0,1
Solanum indicum,5,0,0,0,0,1
Solanum lycocarpum,5,0,0,0,0,1
Solanum muricatum,5,0,0,0,0,1
Solanum nigrum,0,4,0,0,0,0
Solanum torvum,0,0,3,0,0,0
Solanum trilobatum,5,0,0,0,0,1
Solanum tuberosum,5,0,0,0,0,1
Solanum viarum,5,0,0,0,0,1
Solanum virginianum,5,0,0,0,0,1
Solanum xanthocarpum,0,4,0,0,0,0
Spondias mombin,0,4,0,2,0,1
Spondias pinnata,0,0,3,0,0,0
Stereospermum colais,0,0,0,0,1,0
Stereospermum suaveolens,5,0,0,0,0,1
Swertia chirata,5,0,0,0,0,1
Swertia chirayita,0,4,0,0,0,0
Swertia cordata,5,0,0,0,0,1
Swertia longifolia,0,0,0,2,0,0
Swertia macrosperma,5,0,0,0,0,1
Swertia mussotii,0,0,0,0,1,0
Syzygium alternifolium,5,0,0,0,0,1
Syzygium aromaticum,0,0,3,0,0,0
Syzygium cumini,0,0,0,2,1,0
Syzygium densiflorum,5,0,0,0,0,1
Syzygium jambolanum,0,4,0,0,0,0
Syzygium jambosa,0,4,0,0,0,0
Syzygium samarangense,0,0,3,0,0,0
Tabernaemontana corymbosa,5,0,0,0,0,1
"
Tabernaemontana divaricata",5,0,0,0,0,1
Tabernaemontana heyneana,5,0,0,0,0,1
Taxus baccata,5,0,0,0,0,1
Taxus yunnanensis,5,0,0,0,0,1
Terminalia alata,5,0,0,0,0,1
Terminalia arjuna,0,0,3,2,0,1
Terminalia bellirica,5,0,0,0,0,1
Terminalia catappa,5,0,0,0,0,1
